# latex scheme: conventional LaTeX + AMS macro names.
# Generated by scripts/update-latex-symbols.py from https://www.w3.org/Math/characters/unicode.xml
# W3C XML Entity Definitions for Characters (W3C license).
# Columns: name<TAB>codepoint(hex)[ ...]<TAB>description
dashv	22A3	LEFT TACK
dbkarow	290F	RIGHTWARDS TRIPLE DASH ARROW
dblarrowupdown	21C5	UPWARDS ARROW LEFTWARDS OF DOWNWARDS ARROW
ddag	2021	DOUBLE DAGGER
ddagger	2021	DOUBLE DAGGER
ddddot	20DC	COMBINING FOUR DOTS ABOVE
dddot	20DB	COMBINING THREE DOTS ABOVE
ddot	0308	COMBINING DIAERESIS
ddots	22F1	DOWN RIGHT DIAGONAL ELLIPSIS
ddotseq	2A77	EQUALS SIGN WITH TWO DOTS ABOVE AND TWO DOTS BELOW
degree	00B0	DEGREE SIGN
delta	03B4	GREEK SMALL LETTER DELTA
dh	00F0	LATIN SMALL LETTER ETH
diagdown	2572	BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO LOWER RIGHT
diagup	2571	BOX DRAWINGS LIGHT DIAGONAL UPPER RIGHT TO LOWER LEFT
diamond	22C4	DIAMOND OPERATOR
diamondsuit	2662	WHITE DIAMOND SUIT
digamma	03DD	GREEK SMALL LETTER DIGAMMA
disjquant	2A08	TWO LOGICAL OR OPERATOR
div	00F7	DIVISION SIGN
divideontimes	22C7	DIVISION TIMES
dj	0111	LATIN SMALL LETTER D WITH STROKE
dot	0307	COMBINING DOT ABOVE
doteq	2250	APPROACHES THE LIMIT
doteqdot	2251	GEOMETRICALLY EQUAL TO
dotminus	2238	DOT MINUS
dotplus	2214	DOT PLUS
dots	2026	HORIZONTAL ELLIPSIS
downarrow	2193	DOWNWARDS ARROW
downdownarrows	21CA	DOWNWARDS PAIRED ARROWS
downharpoonleft	21C3	DOWNWARDS HARPOON WITH BARB LEFTWARDS
downharpoonright	21C2	DOWNWARDS HARPOON WITH BARB RIGHTWARDS
downslopeellipsis	22F1	DOWN RIGHT DIAGONAL ELLIPSIS
drbkarrow	2910	RIGHTWARDS TWO-HEADED TRIPLE DASH ARROW
dualmap	29DF	DOUBLE-ENDED MULTIMAP
eighthnote	266A	EIGHTH NOTE
ell	2113	SCRIPT SMALL L
emdash	2014	EM DASH
endash	2013	EN DASH
enspace	2002	EN SPACE
epsilon	03B5	GREEK SMALL LETTER EPSILON
eqcirc	2256	RING IN EQUAL TO
eqcolon	2255	EQUALS COLON
eqsim	2242	MINUS TILDE
eqslantgtr	2A96	SLANTED EQUAL TO OR GREATER-THAN
eqslantless	2A95	SLANTED EQUAL TO OR LESS-THAN
equiv	2261	IDENTICAL TO
estimates	2259	ESTIMATES
eta	03B7	GREEK SMALL LETTER ETA
eth	00F0	LATIN SMALL LETTER ETH
exists	2203	THERE EXISTS
fallingdotseq	2252	APPROXIMATELY EQUAL TO OR THE IMAGE OF
fdiagovnearrow	292F	FALLING DIAGONAL CROSSING NORTH EAST ARROW
fdiagovrdiag	292C	FALLING DIAGONAL CROSSING RISING DIAGONAL
flat	266D	MUSIC FLAT SIGN
forall	2200	FOR ALL
forcesextra	22A8	TRUE
forks	2ADC	FORKING
forksnot	2ADD	NONFORKING
frown	2322	FROWN
gamma	03B3	GREEK SMALL LETTER GAMMA
ge	2265	GREATER-THAN OR EQUAL TO
gemini	264A	GEMINI
geq	2265	GREATER-THAN OR EQUAL TO
geqq	2267	GREATER-THAN OVER EQUAL TO
geqslant	2A7E	GREATER-THAN OR SLANTED EQUAL TO
gg	226B	MUCH GREATER-THAN
ggg	22D9	VERY MUCH GREATER-THAN
gimel	2137	GIMEL SYMBOL
gnapprox	2A8A	GREATER-THAN AND NOT APPROXIMATE
gneq	2269	GREATER-THAN BUT NOT EQUAL TO
gneqq	2269	GREATER-THAN BUT NOT EQUAL TO
gnsim	22E7	GREATER-THAN BUT NOT EQUIVALENT TO
grave	0300	COMBINING GRAVE ACCENT
greater	003E	GREATER-THAN SIGN
greaterequivlnt	2273	GREATER-THAN OR EQUIVALENT TO
gtrapprox	2A86	GREATER-THAN OR APPROXIMATE
gtrdot	22D7	GREATER-THAN WITH DOT
gtreqless	22DB	GREATER-THAN EQUAL TO OR LESS-THAN
gtreqqless	22DB	GREATER-THAN EQUAL TO OR LESS-THAN
gtrless	2277	GREATER-THAN OR LESS-THAN
gtrsim	2273	GREATER-THAN OR EQUIVALENT TO
guillemotleft	00AB	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
guillemotright	00BB	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
guilsinglleft	2039	SINGLE LEFT-POINTING ANGLE QUOTATION MARK
