# rocq scheme: RocqIDE default unicode bindings (latex-style).
# Generated by scripts/update-rocq-symbols.py from https://raw.githubusercontent.com/rocq-prover/rocq/master/ide/rocqide/default_bindings_src.ml
# rocq-prover/rocq (LGPL-2.1-only).
# Columns: name<TAB>codepoint(hex)[ ...]<TAB>description
Ograve	00D2	letters
Omacr	014C	letters
Omega	03A9	greek letter
Oopf	1D546	letters
OpenCurlyDoubleQuote	201C	symbols
OpenCurlyQuote	2018	symbols
Or	2A54	miscellanea
Oscr	1D4AA	miscellanea
Oslash	00D8	letters
Otilde	00D5	letters
Otimes	2A37	miscellanea
Ouml	00D6	letters
OverBar	00AF	symbols
OverBrace	FE37	symbols
OverBracket	23B4	miscellanea
OverParenthesis	FE35	symbols
PartialD	2202	letters
Pcy	041F	letters
Pfr	1D513	miscellanea
Phi	03A6	greek letter
Pi	03A0	greek letter
PlusMinus	00B1	mathematics
Poincareplane	210C	letters
Popf	2119	letters
Precedes	227A	order relations
PrecedesEqual	2AAF	order relations
PrecedesSlantEqual	227C	order relations
PrecedesTilde	227E	order relations
Prime	2033	symbols
Product	220F	mathematics
Proportion	2237	symbols
Proportional	221D	mathematics
Pscr	1D4AB	miscellanea
Psi	03A8	greek letter
Qfr	1D514	miscellanea
Qopf	211A	letters
Qscr	1D4AC	miscellanea
RBarr	2910	arrows
Racute	0154	letters
Rang	27EB	parentheses and delimiters
Rarr	21A0	arrows
Rarrtl	2916	arrows
Rcaron	0158	letters
Rcedil	0156	letters
Rcy	0420	letters
Re	211C	letters
ReverseElement	220B	set theory
ReverseEquilibrium	21CB	arrows
ReverseUpEquilibrium	296F	arrows
Rfr	211C	letters
RightAngleBracket	27E9	parentheses and delimiters
RightArrow	2192	arrows
RightArrowBar	21E5	arrows
RightArrowLeftArrow	21C4	arrows
RightCeiling	2309	ASCII art
RightDoubleBracket	27E7	parentheses and delimiters
RightDownTeeVector	295D	arrows
RightDownVector	21C2	arrows
RightDownVectorBar	2955	arrows
RightFloor	230B	ASCII art
RightTee	22A2	logic
RightTeeArrow	21A6	arrows
RightTeeVector	295B	arrows
RightTriangle	22B3	triangles
RightTriangleBar	29D0	triangles
RightTriangleEqual	22B5	triangles
RightUpDownVector	294F	arrows
RightUpTeeVector	295C	arrows
RightUpVector	21BE	arrows
RightUpVectorBar	2954	arrows
RightVector	21C0	arrows
RightVectorBar	2953	arrows
Rightarrow	21D2	arrows
Ropf	211D	letters
RoundImplies	2970	arrows
Rrightarrow	21DB	arrows
Rscr	211B	letters
Rsh	21B1	arrows
RuleDelayed	29F4	miscellanea
SHCHcy	0429	letters
SHcy	0428	letters
SOFTcy	042C	letters
Sacute	015A	letters
Sc	2ABC	miscellanea
Scaron	0160	letters
Scedil	015E	letters
Scirc	015C	letters
Scy	0421	letters
Sfr	1D516	miscellanea
ShortDownArrow	2304	miscellanea
ShortLeftArrow	2190	miscellanea
ShortRightArrow	2192	miscellanea
ShortUpArrow	2303	miscellanea
Sigma	03A3	greek letter
SmallCircle	2218	circles
Sopf	1D54A	letters
Sqrt	221A	mathematics
Square	25A1	squares
SquareIntersection	2293	set theory
SquareSubset	228F	set theory
SquareSubsetEqual	2291	set theory
SquareSuperset	2290	set theory
SquareSupersetEqual	2292	set theory
SquareUnion	2294	set theory
Sscr	1D4AE	miscellanea
Star	22C6	symbols
Sub	22D0	set theory
Subset	22D0	set theory
SubsetEqual	2286	set theory
Succeeds	227B	order relations
SucceedsEqual	227D	order relations
SucceedsSlantEqual	227D	order relations
SucceedsTilde	227F	order relations
SuchThat	220B	set theory
Sum	2211	mathematics
Sup	22D1	set theory
Superset	2283	set theory
SupersetEqual	2287	set theory
Supset	22D1	set theory
THORN	00DE	letters
TSHcy	040B	letters
TScy	0426	letters
Tcaron	0164	letters
Tcedil	0162	letters
Tcy	0422	letters
Tfr	1D517	miscellanea
Therefore	2234	symbols
Theta	0398	greek letter
